test,average_accuracy,year
categorization,0.662621359223301,1920
categorization,0.5849514563106796,1800
categorization,0.6589805825242718,1930
categorization,0.6553398058252428,1810
categorization,0.662621359223301,1940
categorization,0.6480582524271845,1820
categorization,0.6516990291262136,1950
categorization,0.6553398058252428,1830
categorization,0.6589805825242718,1960
categorization,0.6638349514563107,1840
categorization,0.6286407766990292,1970
categorization,0.6601941747572816,1850
categorization,0.6225728155339806,1980
categorization,0.6577669902912622,1860
categorization,0.6225728155339806,1990
categorization,0.6614077669902912,1870
categorization,0.6844660194174758,1880
categorization,0.6771844660194175,1890
categorization,0.6808252427184466,1900
categorization,0.6589805825242718,1910
polarity,0.9016990291262136,1920
polarity,0.8895631067961165,1800
polarity,0.9089805825242718,1930
polarity,0.8907766990291263,1810
polarity,0.9077669902912622,1940
polarity,0.8907766990291263,1820
polarity,0.9089805825242718,1950
polarity,0.9004854368932039,1830
polarity,0.9089805825242718,1960
polarity,0.8968446601941747,1840
polarity,0.8992718446601942,1970
polarity,0.8980582524271845,1850
polarity,0.8944174757281553,1980
polarity,0.8992718446601942,1860
polarity,0.883495145631068,1990
polarity,0.9029126213592233,1870
polarity,0.9053398058252428,1880
polarity,0.912621359223301,1890
polarity,0.904126213592233,1900
polarity,0.9138349514563107,1910
null_test,0.7961165048543689,1920
null_test,0.7906553398058253,1800
null_test,0.8052184466019418,1930
null_test,0.7991504854368932,1810
null_test,0.804004854368932,1940
null_test,0.7936893203883495,1820
null_test,0.7979368932038835,1950
null_test,0.7973300970873787,1830
null_test,0.8009708737864077,1960
null_test,0.8076456310679612,1840
null_test,0.7961165048543689,1970
null_test,0.8064320388349514,1850
null_test,0.7864077669902912,1980
null_test,0.8088592233009708,1860
null_test,0.7912621359223301,1990
null_test,0.8094660194174758,1870
null_test,0.8064320388349514,1880
null_test,0.8149271844660194,1890
null_test,0.8033980582524272,1900
null_test,0.8058252427184466,1910
